"id","code","local_code","name","continent","iso_country","wikipedia_link","keywords"
302811,"AD-02",02,"Canillo Parish","EU","AD","https://en.wikipedia.org/wiki/Canillo",
302812,"AD-03",03,"Encamp Parish","EU","AD","https://en.wikipedia.org/wiki/Encamp",
302813,"AD-04",04,"La Massana Parish","EU","AD","https://en.wikipedia.org/wiki/La_Massana",
302814,"AD-05",05,"Ordino Parish","EU","AD","https://en.wikipedia.org/wiki/Ordino",
302815,"AD-06",06,"Sant Julià de Lòria Parish","EU","AD","https://en.wikipedia.org/wiki/Sant_Julià_de_Lòria",
302816,"AD-07",07,"Andorra la Vella Parish","EU","AD","https://en.wikipedia.org/wiki/Andorra_la_Vella",
302817,"AD-08",08,"Escaldes-Engordany Parish","EU","AD","https://en.wikipedia.org/wiki/Escaldes-Engordany",
302818,"AD-U-A","U-A","(unassigned)","EU","AD",,
302819,"AE-AJ","AJ","Ajman Emirate","AS","AE","https://en.wikipedia.org/wiki/Ajman","'Ajmān"
302820,"AE-AZ","AZ","Abu Dhabi Emirate","AS","AE","https://en.wikipedia.org/wiki/Abu_Dhabi_(emirate)","Abu Ẓaby"
302821,"AE-DU","DU","Dubai Emirate","AS","AE","https://en.wikipedia.org/wiki/Dubai","Dubayy"
302822,"AE-FU","FU","Fujairah Emirate","AS","AE","https://en.wikipedia.org/wiki/Fujairah","Al Fujayrah"
302823,"AE-RK","RK","Ras al-Khaimah Emirate","AS","AE","https://en.wikipedia.org/wiki/Ras_al-Khaimah","Ra's al Khaymah"
302824,"AE-SH","SH","Sharjah Emirate","AS","AE","https://en.wikipedia.org/wiki/Sharjah_(emirate)","Ash Shāriqah"
302825,"AE-U-A","U-A","(unassigned)","AS","AE",,
302826,"AE-UQ","UQ","Umm al-Quwain Emirate","AS","AE","https://en.wikipedia.org/wiki/Umm_al-Quwain",
302827,"AF-BAL","BAL","Balkh Province","AS","AF","https://en.wikipedia.org/wiki/Balkh_Province",
302828,"AF-BAM","BAM","Bamiyan Province","AS","AF","https://en.wikipedia.org/wiki/Bamyian_Province",
302829,"AF-BDG","BDG","Badghis Province","AS","AF","https://en.wikipedia.org/wiki/Badghis_Province",
302830,"AF-BDS","BDS","Badakhshan Province","AS","AF","https://en.wikipedia.org/wiki/Badakhshan_Province",
302831,"AF-BGL","BGL","Baghlan Province","AS","AF","https://en.wikipedia.org/wiki/Baghlan_Province",
306897,"AF-DAY","DAY","Daykundi Province","AS","AF","https://en.wikipedia.org/wiki/Daykundi_Province",
302832,"AF-FRA","FRA","Farah Province","AS","AF","https://en.wikipedia.org/wiki/Farah_Province",
302833,"AF-FYB","FYB","Faryab Province","AS","AF","https://en.wikipedia.org/wiki/Faryab_Province",
302834,"AF-GHA","GHA","Ghazni Province","AS","AF","https://en.wikipedia.org/wiki/Ghazni_Province",
